POSITION sPOSITION WIDTH sWIDTH HEIGHT sHEIGHT AREA sAREA CENTROID sCENTROID ENERGY sENERGY A sA B sB C sC R sR BETA sBETA S sS
1848.0 0.9 13.68 0.22 12.3 1.5 243 30 1842.8 0.8 921.4 0.4 2.9 0.7 0.009 0.02 0.0 0.0 33 5 10.2 0.7 10.2 0.7
1793.84 0.1 14.32 0.08 589 6 11494 112 1788.76 0.12 894.38 0.06 2.24 0.14 0.0065 0.0005 0.0 0.0 18.3 0.8 14.0 0.3 14.0 0.3
1634.59 0.2 13.30 0.1 95.8 2.4 1820 43 1628.86 0.2 814.43 0.1 2.24 0.14 0.0065 0.0005 0.0 0.0 18.3 0.8 14.0 0.3 14.0 0.3
1567.6 0.3 13.27 0.1 35.0 1.4 665 26 1561.9 0.3 780.94 0.17 2.24 0.14 0.0065 0.0005 0.0 0.0 18.3 0.8 14.0 0.3 14.0 0.3
1499.95 0.17 13.23 0.1 154 3 2910 54 1494.22 0.17 747.11 0.09 2.24 0.14 0.0065 0.0005 0.0 0.0 18.3 0.8 14.0 0.3 14.0 0.3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1417.2 0.3 13.19 0.1 39.9 1.7 753 32 1411.5 0.3 705.73 0.17 0.0 0.0 0.0 0.0 0.0 0.0 20.7 0.9 14.0 0.3 14.0 0.3
1394.9 0.4 13.18 0.1 41.5 1.8 783 34 1389.1 0.4 694.57 0.19 0.0 0.0 0.0 0.0 0.0 0.0 20.7 0.9 14.0 0.3 14.0 0.3
1368.5 1.0 13.17 0.1 8.9 1.0 168 19 1362.8 1.0 681.4 0.5 0.0 0.0 0.0 0.0 0.0 0.0 20.7 0.9 14.0 0.3 14.0 0.3
1334.8 0.5 13.15 0.1 14.9 1.0 282 19 1329.0 0.6 664.5 0.3 0.0 0.0 0.0 0.0 0.0 0.0 20.7 0.9 14.0 0.3 14.0 0.3
1297.93 0.1 13.13 0.1 859 9 16169 132 1292.17 0.11 646.08 0.06 0.0 0.0 0.0 0.0 0.0 0.0 20.7 0.9 14.0 0.3 14.0 0.3
1129.2 0.8 23.5 0.3 10.9 0.8 170 12 1129.2 0.8 564.6 0.4 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
1100.6 0.8 23.5 0.3 11.8 0.8 183 12 1100.6 0.8 550.3 0.4 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
1063.5 1.0 23.5 0.3 7.7 0.6 119 9 1063.5 1.0 531.8 0.5 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
1025.0 0.4 23.5 0.3 43.8 1.5 678 22 1025.0 0.4 512.51 0.19 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
992.7 0.6 23.4 0.3 17.9 1.0 277 15 992.7 0.6 496.4 0.3 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
922.2 1.2 23.4 0.3 9.5 1.0 147 15 922.2 1.2 461.1 0.6 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
897.3 0.6 23.4 0.3 29.1 1.4 449 20 897.3 0.6 448.7 0.3 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
862.4 2.0 23.4 0.3 9.7 1.4 150 21 862.4 2.0 431.2 1.0 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
842.6 1.7 23.4 0.3 10.0 1.4 154 22 842.6 1.7 421.3 0.9 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
802.6 0.5 23.3 0.3 22.2 1.1 342 16 802.6 0.5 401.3 0.3 0.0 0.0 -0.0078 0.0011 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
668.3 0.8 15.9 1.0 10.2 1.1 107 12 668.3 0.8 334.2 0.4 1.7 0.5 -0.006 0.012 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
642.0 0.9 15.8 1.0 8.3 1.0 86 12 642.0 0.9 321.0 0.5 1.7 0.5 -0.006 0.012 0.0 0.0 38.0 0.0 0.70 0.0 0.70 0.0
609.1 0.5 13.08 0.14 14.9 1.1 208 15 609.1 0.5 304.57 0.24 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6621 0.0 1.6621 0.0
